tier	price
954.0	8350.1
955.0	8358.35
956.0	8366.6
957.0	8374.85
958.0	8383.1
959.0	8391.35
960.0	8399.6
961.0	8407.85
962.0	8416.1
963.0	8424.35
964.0	8432.6
965.0	8440.85
966.0	8449.1
967.0	8457.35
968.0	8465.6
969.0	8473.85
970.0	8482.1
971.0	8490.35
972.0	8498.6
973.0	8506.85
974.0	8515.1
975.0	8523.35
976.0	8531.6
977.0	8539.85
978.0	8548.1
979.0	8556.35
980.0	8564.6
981.0	8572.85
982.0	8581.1
983.0	8589.35
984.0	8597.6
985.0	8605.85
986.0	8614.1
987.0	8622.35
988.0	8630.6
989.0	8638.85
990.0	8647.1
991.0	8655.35
992.0	8663.6
993.0	8671.85
994.0	8680.1
995.0	8688.35
996.0	8696.6
997.0	8704.85
998.0	8713.1
999.0	8721.35
1000.0	8729.6
