id	Üst Kategori	Alt Kategori 1	Alt Kategori 2	Ürün Grubu (Leaf)	Komisyon % (KDV Dahil)	Pazarlama Hizmet Bedeli %	Pazaryeri Hizmet Bedeli %	Hakediş Süresi (Gün)
n11-1573	Banyo & Ev Gereçleri	Ev Gereçleri & Düzenleme	Pratik Ev Gereçleri	Pratik Ev Gereçleri	20%	%1	%0.67	24
n11-1574	Banyo & Ev Gereçleri	Ev Gereçleri & Düzenleme	Çamaşır Kurutma Askısı	Çamaşır Kurutma Askısı	20%	%1	%0.67	24
n11-1575	Banyo & Ev Gereçleri	Ev Gereçleri & Düzenleme	Çöp Kovası	Çöp Kovası	20%	%1	%0.67	24
n11-1576	Banyo & Ev Gereçleri	Ev Gereçleri & Düzenleme	Ütü Masası & Aksesuarları	Ütü Masası & Aksesuarları	20%	%1	%0.67	24
n11-1577	Banyo & Ev Gereçleri	Ev Gereçleri & Düzenleme	Tüy Temizleyiciler & Toplayıcılar	Tüy Temizleyiciler & Toplayıcılar	20%	%1	%0.67	24
n11-1578	Banyo & Ev Gereçleri	Ev Gereçleri & Düzenleme	Gırgır	Gırgır	20%	%1	%0.67	24
n11-1579	Banyo & Ev Gereçleri	Ev Gereçleri & Düzenleme	Kalorifer Aksesuarları	Kalorifer Aksesuarları	20%	%1	%0.67	24
n11-1580	Banyo & Ev Gereçleri	Ev Gereçleri & Düzenleme	Cam Silme Aparatı	Cam Silme Aparatı	20%	%1	%0.67	24
n11-1581	Banyo & Ev Gereçleri	Ev Gereçleri & Düzenleme	Çamaşır Filesi	Çamaşır Filesi	20%	%1	%0.67	24
n11-1582	Dekorasyon & Aydınlatma	Aydınlatma	Abajur	Abajur Şapkası	23%	%1	%0.67	24
n11-1583	Dekorasyon & Aydınlatma	Aydınlatma	Abajur	Abajurlar	23%	%1	%0.67	24
n11-1584	Dekorasyon & Aydınlatma	Aydınlatma	Abajur	Abajur Ayağı	23%	%1	%0.67	24
n11-1585	Dekorasyon & Aydınlatma	Aydınlatma	Ampul	LED Ampul	17%	%1	%0.67	22
n11-1586	Dekorasyon & Aydınlatma	Aydınlatma	Ampul	Floresan Lamba	17%	%1	%0.67	22
n11-1587	Dekorasyon & Aydınlatma	Aydınlatma	Ampul	Halojen Ampul	17%	%1	%0.67	22
n11-1588	Dekorasyon & Aydınlatma	Aydınlatma	Ampul	Rustik Ampul	17%	%1	%0.67	22
n11-1589	Dekorasyon & Aydınlatma	Aydınlatma	Aplik	Aplik	23%	%1	%0.67	24
n11-1590	Dekorasyon & Aydınlatma	Aydınlatma	Armatür	Armatür	21%	%1	%0.67	22
n11-1591	Dekorasyon & Aydınlatma	Aydınlatma	Avize & Sarkıt	Avize & Sarkıt	23%	%1	%0.67	24
n11-1592	Dekorasyon & Aydınlatma	Aydınlatma	Dekoratif Led Işık	Dekoratif Led Işık	23%	%1	%0.67	24
n11-1593	Dekorasyon & Aydınlatma	Aydınlatma	Gece Lambası	Gece Lambası	21%	%1	%0.67	22
n11-1594	Dekorasyon & Aydınlatma	Aydınlatma	Lambader & Köşe Aydınlatmaları	Lambader & Köşe Aydınlatmaları	23%	%1	%0.67	24
n11-1595	Dekorasyon & Aydınlatma	Aydınlatma	Led Aydınlatmalar	Led Aydınlatmalar	21%	%1	%0.67	22
n11-1596	Dekorasyon & Aydınlatma	Aydınlatma	Masa Lambası	Masa Lambası	23%	%1	%0.67	24
n11-1597	Dekorasyon & Aydınlatma	Aydınlatma	Spot Lamba	Spot Lamba	21%	%1	%0.67	22
n11-1598	Dekorasyon & Aydınlatma	Aydınlatma	Tuz Lamba	Tuz Lamba	21%	%1	%0.67	22
n11-1599	Dekorasyon & Aydınlatma	Aydınlatma	Bebek ve Çocuk Odası Aydınlatmaları	Abajur	23%	%1	%0.67	24
n11-1600	Dekorasyon & Aydınlatma	Aydınlatma	Bebek ve Çocuk Odası Aydınlatmaları	Sarkıt	23%	%1	%0.67	24
n11-1601	Dekorasyon & Aydınlatma	Aydınlatma	Bahçe Aydınlatma	Bahçe Direkleri	21%	%1	%0.67	22
n11-1602	Dekorasyon & Aydınlatma	Aydınlatma	Bahçe Aydınlatma	Bahçe Aplikleri	21%	%1	%0.67	22
n11-1603	Dekorasyon & Aydınlatma	Aydınlatma	Bahçe Aydınlatma	Bahçe Fenerleri	21%	%1	%0.67	22
n11-1604	Dekorasyon & Aydınlatma	Aydınlatma	Bahçe Aydınlatma	Bahçe Yol Aydınlatmaları	21%	%1	%0.67	22
n11-1605	Dekorasyon & Aydınlatma	Aydınlatma	Bahçe Aydınlatma	Bahçe Set Üstü Aydınlatmalar	21%	%1	%0.67	22
n11-1606	Dekorasyon & Aydınlatma	Ayna	Boy Aynası	Boy Aynası	23%	%1	%0.67	24
n11-1607	Dekorasyon & Aydınlatma	Ayna	Dekoratif Ayna	Dekoratif Ayna	23%	%1	%0.67	24
n11-1608	Dekorasyon & Aydınlatma	Duvar Kağıdı	Duvar Kağıtları	Duvar Kağıtları	23%	%1	%0.67	24
n11-1609	Dekorasyon & Aydınlatma	Duvar Kağıdı	Duvar Kaplama	Duvar Kaplama	23%	%1	%0.67	24
n11-1610	Dekorasyon & Aydınlatma	Duvar Kağıdı	Yapışkanlı Folyo	Yapışkanlı Folyo	23%	%1	%0.67	24
n11-1611	Dekorasyon & Aydınlatma	Duvar Kağıdı	Çocuk Odası Duvar Kağıtları	Çocuk Odası Duvar Kağıtları	23%	%1	%0.67	24
n11-1612	Dekorasyon & Aydınlatma	Duvar Örtüsü	Duvar Örtüsü	Duvar Örtüsü	23%	%1	%0.67	24
n11-1613	Dekorasyon & Aydınlatma	Duvar Sticker	Banyo Sticker	Banyo Sticker	23%	%1	%0.67	24
n11-1614	Dekorasyon & Aydınlatma	Duvar Sticker	Beyaz Eşya Sticker	Beyaz Eşya Sticker	23%	%1	%0.67	24
n11-1615	Dekorasyon & Aydınlatma	Duvar Sticker	Duvar Stickerları	Duvar Stickerları	23%	%1	%0.67	24
n11-1616	Dekorasyon & Aydınlatma	Duvar Sticker	Mobilya Sticker	Mobilya Sticker	23%	%1	%0.67	24
n11-1617	Dekorasyon & Aydınlatma	Duvar Sticker	Priz Sticker	Priz Sticker	23%	%1	%0.67	24
n11-1618	Dekorasyon & Aydınlatma	Duvar Sticker	Çocuk Odası Sticker	Çocuk Odası Sticker	23%	%1	%0.67	24
n11-1619	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Biblo	Biblo	23%	%1	%0.67	24
n11-1620	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Dekoratif Objeler	Dekoratif Objeler	23%	%1	%0.67	24
n11-1621	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Gazetelik	Gazetelik	23%	%1	%0.67	24
n11-1622	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Keyif Tepsisi	Keyif Tepsisi	23%	%1	%0.67	24
n11-1623	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Kitap Tutucu	Kitap Tutucu	23%	%1	%0.67	24
n11-1624	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Kutular	Kutular	23%	%1	%0.67	24
n11-1625	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Küllük	Küllük	23%	%1	%0.67	24
n11-1626	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Mum, Mumluk & Şamdan	Mum	23%	%1	%0.67	24
n11-1627	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Mum, Mumluk & Şamdan	Mumluk & Şamdan	23%	%1	%0.67	24
n11-1628	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Takı Askılığı	Takı Askılığı	23%	%1	%0.67	24
n11-1629	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Vazo	Vazo	23%	%1	%0.67	24
n11-1630	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Yapay Çiçek & Kuru Çiçek	Yapay Çiçek & Kuru Çiçek	23%	%1	%0.67	24
n11-1631	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Çerçeve	Çerçeve	23%	%1	%0.67	24
n11-1632	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Şaraplık	Şaraplık	23%	%1	%0.67	24
n11-1633	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Meyvelik	Meyvelik	23%	%1	%0.67	24
n11-1634	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Şekerlik	Şekerlik	23%	%1	%0.67	24
n11-1635	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Gondol	Gondol	23%	%1	%0.67	24
n11-1636	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Dekoratif Tabak	Dekoratif Tabak	23%	%1	%0.67	24
n11-1637	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Dekoratif Kase	Dekoratif Kase	23%	%1	%0.67	24
n11-1638	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Yılbaşı Süs ve Aksesuarları	Yılbaşı Çam Ağacı	23%	%1	%0.67	24
n11-1639	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Yılbaşı Süs ve Aksesuarları	Yılbaşı Süsleri	23%	%1	%0.67	24
n11-1640	Dekorasyon & Aydınlatma	Ev & Dekoratif Aksesuarlar	Tütsü ve Tütsülükler	Tütsü ve Tütsülükler	10%	%1	%0.67	24
n11-1641	Dekorasyon & Aydınlatma	Hediyelik Eşya	Hediyelik Eşya	Hediyelik Eşya	23%	%1	%0.67	24
n11-1642	Dekorasyon & Aydınlatma	Paravan & Seperatör	Paravan	Paravan	23%	%1	%0.67	24
n11-1643	Dekorasyon & Aydınlatma	Paravan & Seperatör	Seperatör	Seperatör	23%	%1	%0.67	24
n11-1644	Dekorasyon & Aydınlatma	Saat	Ayna Saat	Ayna Saat	23%	%1	%0.67	24
n11-1645	Dekorasyon & Aydınlatma	Saat	Duvar Saati	Duvar Saati	23%	%1	%0.67	24
n11-1646	Dekorasyon & Aydınlatma	Saat	Tablo Saatler	Tablo Saatler	23%	%1	%0.67	24
n11-1647	Dekorasyon & Aydınlatma	Saat	Masa Saati	Masa Saati	23%	%1	%0.67	24
n11-1648	Dekorasyon & Aydınlatma	Saat	Sarkaçlı Saat	Sarkaçlı Saat	23%	%1	%0.67	24
n11-1649	Dekorasyon & Aydınlatma	Saat	Sticker Saat	Sticker Saat	23%	%1	%0.67	24
n11-1650	Dekorasyon & Aydınlatma	Tablo	Ahşap Tablo	Ahşap Tablo	23%	%1	%0.67	24
n11-1651	Dekorasyon & Aydınlatma	Tablo	Doğal Taş Tablo	Doğal Taş Tablo	23%	%1	%0.67	24
n11-1652	Dekorasyon & Aydınlatma	Tablo	Goblen Tablo	Goblen Tablo	23%	%1	%0.67	24
n11-1653	Dekorasyon & Aydınlatma	Tablo	Kanvas Tablo	Kanvas Tablo	23%	%1	%0.67	24
n11-1654	Dekorasyon & Aydınlatma	Tablo	Ledli Tablo	Ledli Tablo	23%	%1	%0.67	24
n11-1655	Dekorasyon & Aydınlatma	Tablo	Posterler	Posterler	23%	%1	%0.67	24
n11-1656	Dekorasyon & Aydınlatma	Tablo	Yağlı Boya Tablo	Yağlı Boya Tablo	23%	%1	%0.67	24
n11-1657	Dekorasyon & Aydınlatma	Tablo	Metal Tablo	Metal Tablo	23%	%1	%0.67	24
n11-1658	Dekorasyon & Aydınlatma	Tablo	Cam Tablo	Cam Tablo	23%	%1	%0.67	24
n11-1659	Ev Tekstili	Banyo Tekstili	Banyo Halısı & Paspas	Banyo Halısı & Paspas	20%	%1	%0.67	24
n11-1660	Ev Tekstili	Banyo Tekstili	Banyo Kaydırmazlar	Banyo Kaydırmazlar	20%	%1	%0.67	24
n11-1661	Ev Tekstili	Banyo Tekstili	Bornoz ve Setleri	Bornoz	20%	%1	%0.67	24
n11-1662	Ev Tekstili	Banyo Tekstili	Bornoz ve Setleri	Bornoz Seti	20%	%1	%0.67	24
n11-1663	Ev Tekstili	Banyo Tekstili	Duş Perdesi	Duş Perdesi	20%	%1	%0.67	24
n11-1664	Ev Tekstili	Banyo Tekstili	Havlu ve Setleri	Havlu Seti	20%	%1	%0.67	24
n11-1665	Ev Tekstili	Banyo Tekstili	Havlu ve Setleri	Ayak Havlusu	20%	%1	%0.67	24
n11-1666	Ev Tekstili	Banyo Tekstili	Havlu ve Setleri	Yüz Havlusu	20%	%1	%0.67	24
n11-1667	Ev Tekstili	Banyo Tekstili	Havlu ve Setleri	El Havlusu	20%	%1	%0.67	24
n11-1668	Ev Tekstili	Banyo Tekstili	Havlu ve Setleri	Banyo Havlusu	20%	%1	%0.67	24
n11-1669	Ev Tekstili	Banyo Tekstili	Havlu ve Setleri	Plaj Havlusu	20%	%1	%0.67	24
n11-1670	Ev Tekstili	Banyo Tekstili	Peştamal	Peştamal	20%	%1	%0.67	24
n11-1671	Ev Tekstili	Halı & Kilim	Kilim	Kilim	20%	%1	%0.67	24
n11-1672	Ev Tekstili	Halı & Kilim	Paspas	Paspas	20%	%1	%0.67	24
n11-1673	Ev Tekstili	Halı & Kilim	Seccade	Seccade	20%	%1	%0.67	24
n11-1674	Ev Tekstili	Halı & Kilim	Yolluk	Yolluk	20%	%1	%0.67	24
n11-1675	Ev Tekstili	Halı & Kilim	Çocuk Odası Halısı	Çocuk Odası Halısı	20%	%1	%0.67	24
n11-1676	Ev Tekstili	Halı & Kilim	Halı Örtüsü	Halı Örtüsü	20%	%1	%0.67	24
n11-1677	Ev Tekstili	Halı & Kilim	Halı	Makine Halısı	20%	%1	%0.67	24
n11-1678	Ev Tekstili	Halı & Kilim	Halı	Deri Halı	20%	%1	%0.67	24
n11-1679	Ev Tekstili	Halı & Kilim	Halı	Dijital Baskı Halı	20%	%1	%0.67	24
n11-1680	Ev Tekstili	Halı & Kilim	Halı	El Dokuma/Yün Halı	20%	%1	%0.67	24
n11-1681	Ev Tekstili	Halı & Kilim	Halı	Peluş & Post Halı	20%	%1	%0.67	24
n11-1682	Ev Tekstili	Halı & Kilim	Halı	Jüt/Hasır Halı	20%	%1	%0.67	24
n11-1683	Ev Tekstili	Halı & Kilim	Halı	Patchwork Halı	20%	%1	%0.67	24
n11-1684	Ev Tekstili	Halı & Kilim	Halı	Shaggy	20%	%1	%0.67	24
n11-1685	Ev Tekstili	Halı & Kilim	Halı	Halıflex	20%	%1	%0.67	24
n11-1686	Ev Tekstili	Halı & Kilim	Mutfak Halısı	Mutfak Halısı	20%	%1	%0.67	24
n11-1687	Ev Tekstili	Halı & Kilim	Halı Kaydırmazı	Halı Kaydırmazı	20%	%1	%0.67	24
n11-1688	Ev Tekstili	Mutfak Tekstili	Amerikan Servis	Amerikan Servis	20%	%1	%0.67	24
n11-1689	Ev Tekstili	Mutfak Tekstili	Kurulama Bezi	Kurulama Bezi	20%	%1	%0.67	24
n11-1690	Ev Tekstili	Mutfak Tekstili	Masa Örtüsü	Masa Örtüsü	20%	%1	%0.67	24
n11-1691	Ev Tekstili	Mutfak Tekstili	Mutfak Havlusu	Mutfak Havlusu	20%	%1	%0.67	24
n11-1692	Ev Tekstili	Mutfak Tekstili	Peçete	Peçete	20%	%1	%0.67	24
n11-1693	Ev Tekstili	Mutfak Tekstili	Önlük & Eldiven	Önlük & Eldiven	20%	%1	%0.67	24
n11-1694	Ev Tekstili	Perde ve Aksesuarları	Kumaş	Kumaş	20%	%1	%0.67	24
n11-1695	Ev Tekstili	Perde ve Aksesuarları	Fon Perde	Fon Perde	20%	%1	%0.67	24
n11-1696	Ev Tekstili	Perde ve Aksesuarları	Güneşlik	Güneşlik	20%	%1	%0.67	24
n11-1697	Ev Tekstili	Perde ve Aksesuarları	Jaluzi Perde	Jaluzi Perde	20%	%1	%0.67	24
n11-1698	Ev Tekstili	Perde ve Aksesuarları	Perde Aksesuarları	Perde Aksesuarları	20%	%1	%0.67	24
n11-1699	Ev Tekstili	Perde ve Aksesuarları	Stor Perde	Stor Perde	20%	%1	%0.67	24
n11-1700	Ev Tekstili	Perde ve Aksesuarları	Tül Perde	Tül Perde	20%	%1	%0.67	24
n11-1701	Ev Tekstili	Perde ve Aksesuarları	Zebra Perde	Zebra Perde	20%	%1	%0.67	24
n11-1702	Ev Tekstili	Perde ve Aksesuarları	Çocuk Perdesi	Çocuk Perdesi	20%	%1	%0.67	24
n11-1703	Ev Tekstili	Salon Tekstili	Koltuk Örtüsü & Şalı	Koltuk Örtüsü & Şalı	20%	%1	%0.67	24
n11-1704	Ev Tekstili	Salon Tekstili	Runner	Runner	20%	%1	%0.67	24
n11-1705	Ev Tekstili	Salon Tekstili	Yastık & Kırlent	Yastık & Kırlent	20%	%1	%0.67	24
n11-1706	Ev Tekstili	Salon Tekstili	Salon Takımı	Salon Takımı	20%	%1	%0.67	24
n11-1707	Ev Tekstili	Yatak Odası Tekstili	Battaniye	Tek Kişilik Battaniye	20%	%1	%0.67	24
n11-1708	Ev Tekstili	Yatak Odası Tekstili	Battaniye	Çift Kişilik Battaniye	20%	%1	%0.67	24
n11-1709	Ev Tekstili	Yatak Odası Tekstili	Battaniye	Elektrikli Battaniye	20%	%1	%0.67	24
n11-1710	Ev Tekstili	Yatak Odası Tekstili	Nevresim Takımı	Tek Kişilik Nevresim Takımı	20%	%1	%0.67	24
n11-1711	Ev Tekstili	Yatak Odası Tekstili	Nevresim Takımı	Çift Kişilik Nevresim Takımı	20%	%1	%0.67	24
n11-1712	Ev Tekstili	Yatak Odası Tekstili	Pike ve Takımı	Çift Kişilik Pike Takımı	20%	%1	%0.67	24
n11-1713	Ev Tekstili	Yatak Odası Tekstili	Pike ve Takımı	Tek Kişilik Pike	20%	%1	%0.67	24
n11-1714	Ev Tekstili	Yatak Odası Tekstili	Pike ve Takımı	Tek Kişilik Pike Takımı	20%	%1	%0.67	24
n11-1715	Ev Tekstili	Yatak Odası Tekstili	Pike ve Takımı	Çift Kişilik Pike	20%	%1	%0.67	24
n11-1716	Ev Tekstili	Yatak Odası Tekstili	Uyku Seti	Çift Kişilik Uyku Seti	20%	%1	%0.67	24
n11-1717	Ev Tekstili	Yatak Odası Tekstili	Uyku Seti	Tek Kişilik Uyku Seti	20%	%1	%0.67	24
n11-1718	Ev Tekstili	Yatak Odası Tekstili	Yastık Kılıfı & Alez	Yastık Kılıfı	20%	%1	%0.67	24
n11-1719	Ev Tekstili	Yatak Odası Tekstili	Yastık Kılıfı & Alez	Tek Kişilik Alez	20%	%1	%0.67	24
n11-1720	Ev Tekstili	Yatak Odası Tekstili	Yastık Kılıfı & Alez	Çift Kişilik Alez	20%	%1	%0.67	24
n11-1721	Ev Tekstili	Yatak Odası Tekstili	Yatak Örtüsü	Çift Kişilik Yatak Örtüsü	20%	%1	%0.67	24
n11-1722	Ev Tekstili	Yatak Odası Tekstili	Yatak Örtüsü	Battal Boy Yatak Örtüsü	20%	%1	%0.67	24
n11-1723	Ev Tekstili	Yatak Odası Tekstili	Yatak Örtüsü	Tek Kişilik Yatak Örtüsü	20%	%1	%0.67	24
n11-1724	Ev Tekstili	Yatak Odası Tekstili	Yorgan	Tek Kişilik Yorgan	20%	%1	%0.67	24
n11-1725	Ev Tekstili	Yatak Odası Tekstili	Yorgan	Çift Kişilik Yorgan	20%	%1	%0.67	24
n11-1726	Ev Tekstili	Yatak Odası Tekstili	Çarşaf	Çift Kişilik Çarşaf	20%	%1	%0.67	24
n11-1727	Ev Tekstili	Yatak Odası Tekstili	Çarşaf	Tek Kişilik Çarşaf	20%	%1	%0.67	24
n11-1728	Ev Tekstili	Yatak Odası Tekstili	Çarşaf	Battal Boy Çarşaf	20%	%1	%0.67	24
n11-1729	Ev Tekstili	Yatak Odası Tekstili	Çeyiz Seti	Çeyiz Seti	20%	%1	%0.67	24
n11-1730	Ev Tekstili	Yatak Odası Tekstili	Yastık	Pamuk Yastık	20%	%1	%0.67	24
n11-1731	Ev Tekstili	Yatak Odası Tekstili	Yastık	Silikon Yastık	20%	%1	%0.67	24
n11-1732	Ev Tekstili	Yatak Odası Tekstili	Yastık	Yün Yastık	20%	%1	%0.67	24
n11-1733	Ev Tekstili	Yatak Odası Tekstili	Yastık	Visco Yastık	20%	%1	%0.67	24
n11-1734	Ev Tekstili	Yatak Odası Tekstili	Yastık	Ortopedik Yastık	20%	%1	%0.67	24
n11-1735	Ev Tekstili	Yatak Odası Tekstili	Yastık	Organik Yastık	20%	%1	%0.67	24
n11-1736	Ev Tekstili	Yatak Odası Tekstili	Yastık	Kaz Tüyü Yastık	20%	%1	%0.67	24
n11-1737	Ev Tekstili	Yatak Odası Tekstili	Yastık	Yastık Diğer	20%	%1	%0.67	24
n11-1738	Ev Tekstili	Yatak Odası Tekstili	Yastık	Lateks Yastık	20%	%1	%0.67	24
n11-1739	Ev Tekstili	Yatak Odası Tekstili	Yastık	Elyaf Yastık	20%	%1	%0.67	24
n11-1740	Evcil Hayvan Ürünleri	Balık	Akvaryum & Fanus	Akvaryum	18%	%1	%0.67	24
n11-1741	Evcil Hayvan Ürünleri	Balık	Akvaryum & Fanus	Fanus	18%	%1	%0.67	24
n11-1742	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Deniz Kabuğu	18%	%1	%0.67	24
n11-1743	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Balık Ekipman & Aksesuarlar Diğer	18%	%1	%0.67	24
n11-1744	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Canlı Bitkiler	18%	%1	%0.67	24
n11-1745	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Ağaç Dalı & Kök	18%	%1	%0.67	24
n11-1746	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Kaya & Cam	18%	%1	%0.67	24
n11-1747	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Ölçek, Regulatörler	18%	%1	%0.67	24
n11-1748	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Yapay Bitki	18%	%1	%0.67	24
n11-1749	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Süs	18%	%1	%0.67	24
n11-1750	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Kum & Taş	18%	%1	%0.67	24
n11-1751	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Yemleme Makinesi	18%	%1	%0.67	24
n11-1752	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Arka Fonlar	18%	%1	%0.67	24
n11-1753	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Termometre	18%	%1	%0.67	24
n11-1754	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Dekorlar	18%	%1	%0.67	24
n11-1755	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Yavruluk	18%	%1	%0.67	24
n11-1756	Evcil Hayvan Ürünleri	Balık	Ekipman & Aksesuarlar	Bitki Ekipmanları	18%	%1	%0.67	24
n11-1757	Evcil Hayvan Ürünleri	Balık	Bakım & Temizlik	Bakım & Temizlik	18%	%1	%0.67	24
n11-1758	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Balık Yemi Diğer	15%	%1	%0.67	24
n11-1759	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Canlı Yemler	15%	%1	%0.67	24
n11-1760	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Japon Yemleri	15%	%1	%0.67	24
n11-1761	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Pul Yemler	15%	%1	%0.67	24
n11-1762	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Tablet & Cips Yemler	15%	%1	%0.67	24
n11-1763	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Tatil Yemleri	15%	%1	%0.67	24
n11-1764	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Tropikal Balık Yemleri	15%	%1	%0.67	24
n11-1765	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Tuzlu Su Yemleri	15%	%1	%0.67	24
n11-1766	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Havuz Yemleri	15%	%1	%0.67	24
n11-1767	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Deniz Yemleri	15%	%1	%0.67	24
n11-1768	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Discus Yemleri	15%	%1	%0.67	24
n11-1769	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Cichlid Yemleri	15%	%1	%0.67	24
n11-1770	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Yavru Yemleri	15%	%1	%0.67	24
n11-1771	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Sıvı Yemler	15%	%1	%0.67	24
n11-1772	Evcil Hayvan Ürünleri	Balık	Balık Yemi	Kurutulmuş Canlı Yem	15%	%1	%0.67	24
n11-1773	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	İç Filtre	18%	%1	%0.67	24
n11-1774	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Derece	18%	%1	%0.67	24
n11-1775	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Dış Filtre	18%	%1	%0.67	24
n11-1776	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Hava Motoru	18%	%1	%0.67	24
n11-1777	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Kafa Motoru	18%	%1	%0.67	24
n11-1778	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Ultravioleler	18%	%1	%0.67	24
n11-1779	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Süzgeç & Kepçe	18%	%1	%0.67	24
n11-1780	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Şelale Filtre	18%	%1	%0.67	24
n11-1781	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Tepe Filtresi	18%	%1	%0.67	24
n11-1782	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Hava Taşı	18%	%1	%0.67	24
n11-1783	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Dip Süpürgesi	18%	%1	%0.67	24
n11-1784	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Cam Silecekleri	18%	%1	%0.67	24
n11-1785	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Hava Hortumları	18%	%1	%0.67	24
n11-1786	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Hava Vanaları	18%	%1	%0.67	24
n11-1787	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Vantuz	18%	%1	%0.67	24
n11-1788	Evcil Hayvan Ürünleri	Balık	Filtre, Bakım, Temizlik	Dalga Motoru	18%	%1	%0.67	24
n11-1789	Evcil Hayvan Ürünleri	Balık	Aydınlatma	UV Lamba	18%	%1	%0.67	24
n11-1790	Evcil Hayvan Ürünleri	Balık	Aydınlatma	Su İçi Lamba	18%	%1	%0.67	24
n11-1791	Evcil Hayvan Ürünleri	Balık	Aydınlatma	Kapak Armatür	18%	%1	%0.67	24
n11-1792	Evcil Hayvan Ürünleri	Balık	Isıtma & Soğutma	Isıtma	18%	%1	%0.67	24
n11-1793	Evcil Hayvan Ürünleri	Balık	Isıtma & Soğutma	Soğutma	18%	%1	%0.67	24
n11-1794	Evcil Hayvan Ürünleri	Balık	Vitamin & Mineral	Vitamin & Mineral	18%	%1	%0.67	24
